neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
54,pre:tok:in,pre,pre:tok,0.0,1,-0.08550019,0.017264206,-0.07033782
55,pre:tok:in,pre,pre:tok,0.0,1,0.00833922,0.020001516,-0.030236812
56,pre:tok:in,pre,pre:tok,0.0,1,0.0026214418,-0.0085015455,-0.008195789
57,pre:tok:in,pre,pre:tok,0.0,1,-0.010113196,0.0026206197,-0.015361326
58,pre:tok:in,pre,pre:tok,0.0,1,0.025987085,-0.055569272,0.015964221
59,pre:tok:in,pre,pre:tok,0.0,1,-0.035187453,-0.115547,0.11677183
60,pre:tok:in,pre,pre:tok,0.0,1,0.006267746,0.032048497,-0.010155706
61,pre:tok:in,pre,pre:tok,0.0,1,0.032971706,-0.027068065,-0.16175447
62,pre:tok:in,pre,pre:tok,0.0,1,0.03103753,-0.024496555,-0.025770273
63,pre:tok:in,pre,pre:tok,0.0,1,0.04573205,-0.003268018,-0.06788963
64,pre:tok:in,pre,pre:tok,0.0,1,0.00252681,0.00079259474,0.0026084005
65,pre:tok:in,pre,pre:tok,0.0,1,-0.12863564,-0.067493185,0.110098556
66,pre:tok:in,pre,pre:tok,0.0,1,0.033789285,-0.03808392,-0.018338058
67,pre:tok:in,pre,pre:tok,0.0,1,-0.12804317,0.06296108,0.00078801997
68,pre:tok:in,pre,pre:tok,0.0,1,-0.007609634,-0.0042655533,0.025001679
69,pre:tok:in,pre,pre:tok,0.0,1,-0.007861247,0.0061739935,0.0059137563
6,(((((NOT oth:overlap:overlap25) AND pre:tag:.) AND (NOT hyp:tok:people)) AND (NOT hyp:tok:walking)) OR hyp:tok:tall),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) OR hyp:tok),0.2305736083639446,8,-0.06330322,0.022027269,0.009290368
0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:outside)) AND (NOT hyp:tok:outdoors)) AND (NOT hyp:tok:near)),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.35400480293826814,9,-0.026803894,-0.017842982,0.02657936
72,pre:tok:in,pre,pre:tok,0.0,1,-0.14490566,0.08328431,-0.022965817
73,pre:tok:in,pre,pre:tok,0.0,1,-0.0050824634,-0.0013629452,-0.12974527
74,pre:tok:in,pre,pre:tok,0.0,1,-0.011482277,0.0011194352,0.0120803835
75,pre:tok:in,pre,pre:tok,0.0,1,-0.0262356,0.0064998884,-0.0030897802
76,pre:tok:in,pre,pre:tok,0.0,1,-0.04563948,0.03152975,0.026896266
77,pre:tok:in,pre,pre:tok,0.0,1,-0.032825645,0.0010794705,-0.056606244
78,pre:tok:in,pre,pre:tok,0.0,1,0.01182707,0.01418951,-0.07326577
79,pre:tok:in,pre,pre:tok,0.0,1,-0.042171866,0.029642066,0.0040113684
80,pre:tok:in,pre,pre:tok,0.0,1,-0.104470074,-0.0015485637,0.024704978
81,pre:tok:in,pre,pre:tok,0.0,1,-0.0004845808,-0.0026556302,-0.06320808
82,pre:tok:in,pre,pre:tok,0.0,1,-0.0006962838,0.037043694,-0.0047402196
83,pre:tok:in,pre,pre:tok,0.0,1,0.015798438,-0.027097842,-0.026725514
84,pre:tok:in,pre,pre:tok,0.0,1,-0.046179634,0.024165891,-0.031279296
85,pre:tok:in,pre,pre:tok,0.0,1,0.023714222,-0.008861668,-0.07464618
86,pre:tok:in,pre,pre:tok,0.0,1,0.048801105,-0.011612206,-0.046751846
87,pre:tok:in,pre,pre:tok,0.0,1,-0.08595089,0.06993344,-0.03883311
88,pre:tok:in,pre,pre:tok,0.0,1,-0.039959464,0.011520041,0.006039225
70,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR hyp:tok:nobody)) OR hyp:tok:sleeping) OR hyp:tok:cat),((((NOT oth) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.15778159931212382,6,-0.09529671,-0.019174349,0.051407162
90,pre:tok:in,pre,pre:tok,0.0,1,-0.007987969,-0.02412905,0.026392274
91,pre:tok:in,pre,pre:tok,0.0,1,-0.056765195,0.048301887,-0.035669833
92,pre:tok:in,pre,pre:tok,0.0,1,0.07264218,0.024391834,-0.0867493
93,pre:tok:in,pre,pre:tok,0.0,1,-0.01883569,-0.017991973,-0.0017997269
94,pre:tok:in,pre,pre:tok,0.0,1,-0.06706084,-0.015701026,-0.002899843
95,pre:tok:in,pre,pre:tok,0.0,1,0.0010621102,-0.022456413,0.015506575
96,pre:tok:in,pre,pre:tok,0.0,1,0.0034709915,-0.0325567,-0.008448587
97,pre:tok:in,pre,pre:tok,0.0,1,0.026501311,0.01666225,-0.0069059217
16,(((((NOT hyp:tok:wearing) AND pre:tag:nn) AND (NOT hyp:tok:black)) AND (NOT hyp:tok:sitting)) AND (NOT hyp:tok:sleeping)),(((((NOT hyp) AND pre) AND (NOT hyp)) AND (NOT hyp)) AND (NOT hyp)),(((((NOT hyp:tok) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.3920647065253033,9,0.021715952,0.010245283,-0.042337667
71,(((((NOT hyp:tok:to) AND pre:tag:nn) AND (NOT hyp:tok:for)) AND (NOT oth:overlap:overlap75)) AND (NOT hyp:tok:outdoors)),(((((NOT hyp) AND pre) AND (NOT hyp)) AND (NOT oth)) AND (NOT hyp)),(((((NOT hyp:tok) AND pre:tag) AND (NOT hyp:tok)) AND (NOT oth:overlap)) AND (NOT hyp:tok)),0.35938903863432164,9,0.0054669827,-0.04855686,0.022421855
100,pre:tok:in,pre,pre:tok,0.0,1,-0.088273406,-0.0052091433,-0.0047181933
101,pre:tok:in,pre,pre:tok,0.0,1,0.029992595,-0.07621401,-0.083021775
102,pre:tok:in,pre,pre:tok,0.0,1,-0.012499663,-0.02526332,-0.0016857684
103,pre:tok:in,pre,pre:tok,0.0,1,0.016138189,0.00962268,0.02160543
104,pre:tok:in,pre,pre:tok,0.0,1,0.023347884,0.048116654,-0.09151149
105,pre:tok:in,pre,pre:tok,0.0,1,0.016222455,0.012033734,0.013546592
106,pre:tok:in,pre,pre:tok,0.0,1,-0.031491347,-0.029547928,-0.016781854
107,pre:tok:in,pre,pre:tok,0.0,1,0.010845746,0.05377577,-0.01788012
108,pre:tok:in,pre,pre:tok,0.0,1,0.031940717,-0.025490396,-0.050881114
109,pre:tok:in,pre,pre:tok,0.0,1,-0.0125272535,-0.045895323,-0.084206924
110,pre:tok:in,pre,pre:tok,0.0,1,-0.05829175,0.00046831323,-0.020443004
111,pre:tok:in,pre,pre:tok,0.0,1,0.0016251587,-0.027635096,-0.030513028
112,pre:tok:in,pre,pre:tok,0.0,1,0.009923251,0.010234154,0.030070646
113,pre:tok:in,pre,pre:tok,0.0,1,-0.039625775,0.01247841,0.0041836877
114,pre:tok:in,pre,pre:tok,0.0,1,-0.03208998,-0.021575475,0.015153893
115,pre:tok:in,pre,pre:tok,0.0,1,-0.025477335,-0.048394438,-0.07235463
116,pre:tok:in,pre,pre:tok,0.0,1,-0.017637454,0.0016426755,-0.05439897
117,pre:tok:in,pre,pre:tok,0.0,1,-0.015599354,-0.0043594847,0.031266592
118,pre:tok:in,pre,pre:tok,0.0,1,-0.013045226,-0.028308477,0.027513092
119,pre:tok:in,pre,pre:tok,0.0,1,-0.020751394,0.027719911,-0.023735322
120,pre:tok:in,pre,pre:tok,0.0,1,-0.014205514,-0.009820692,-0.028561337
121,pre:tok:in,pre,pre:tok,0.0,1,-0.012556307,-0.004710122,-0.02077138
122,pre:tok:in,pre,pre:tok,0.0,1,0.0104807215,0.013510392,-0.041562807
123,pre:tok:in,pre,pre:tok,0.0,1,-0.04467381,-0.01697592,-0.023792325
124,pre:tok:in,pre,pre:tok,0.0,1,0.005436926,0.022672644,0.0021183304
125,pre:tok:in,pre,pre:tok,0.0,1,0.011726397,-0.10328192,-0.049509082
126,pre:tok:in,pre,pre:tok,0.0,1,0.007641409,0.0072017685,0.0040696347
127,pre:tok:in,pre,pre:tok,0.0,1,0.008601519,-0.023871878,0.029000605
89,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:sitting)) AND (NOT pre:tok:for)) AND (NOT hyp:tok:wearing)),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT pre)) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT pre:tok)) AND (NOT hyp:tok)),0.24718426190118636,9,-0.05423548,0.0146743525,0.02409809
129,pre:tok:in,pre,pre:tok,0.0,1,-0.07976441,-0.017908039,0.073012434
130,pre:tok:in,pre,pre:tok,0.0,1,0.03766189,-0.019099733,-0.031676907
131,pre:tok:in,pre,pre:tok,0.0,1,-0.008187658,-0.003069799,-0.0018015172
132,pre:tok:in,pre,pre:tok,0.0,1,-0.0046232697,0.044788186,0.00519702
98,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR hyp:tok:running)) OR hyp:tok:riding) OR hyp:tok:swimming),((((NOT oth) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.12522935779816513,6,-0.099489525,-0.034887858,0.06074927
99,((((oth:overlap:overlap75 AND pre:tag:jj) OR hyp:tok:store) OR pre:tok:painting) OR pre:tok:basket),((((oth AND pre) OR hyp) OR pre) OR pre),((((oth:overlap AND pre:tag) OR hyp:tok) OR pre:tok) OR pre:tok),0.11344853493613824,5,0.04324872,-0.028938415,-0.02054224
135,pre:tok:in,pre,pre:tok,0.0,1,0.0030202875,-0.014142611,0.0250807
136,pre:tok:in,pre,pre:tok,0.0,1,-0.013081909,0.034544777,-0.09757626
137,pre:tok:in,pre,pre:tok,0.0,1,-0.02870068,-0.03453505,0.006190409
138,pre:tok:in,pre,pre:tok,0.0,1,-0.0056663803,-0.03728293,0.036637243
139,pre:tok:in,pre,pre:tok,0.0,1,-0.011324466,-0.041528713,0.017024776
140,pre:tok:in,pre,pre:tok,0.0,1,-0.07587271,-0.012818668,0.070570715
141,pre:tok:in,pre,pre:tok,0.0,1,0.005810221,-0.026972951,-0.011278573
142,pre:tok:in,pre,pre:tok,0.0,1,-0.07931034,0.0017371047,-0.17360741
143,pre:tok:in,pre,pre:tok,0.0,1,-0.008734531,0.037634708,0.022897309
144,pre:tok:in,pre,pre:tok,0.0,1,-0.0057619945,-0.021495854,-0.049787506
145,pre:tok:in,pre,pre:tok,0.0,1,-0.024638766,-0.0031922143,-0.00596339
146,pre:tok:in,pre,pre:tok,0.0,1,-0.024519496,-0.0051470543,0.04366446
147,pre:tok:in,pre,pre:tok,0.0,1,0.010566733,0.015339571,0.032468084
148,pre:tok:in,pre,pre:tok,0.0,1,-0.02957438,-0.020992396,-0.0046174335
149,pre:tok:in,pre,pre:tok,0.0,1,-0.020838039,0.016317807,0.0065414477
150,pre:tok:in,pre,pre:tok,0.0,1,-0.19717628,0.03932933,0.078936905
151,pre:tok:in,pre,pre:tok,0.0,1,-0.08782759,-0.026483174,0.10164637
152,pre:tok:in,pre,pre:tok,0.0,1,0.010014768,0.0019077694,-0.014095967
153,pre:tok:in,pre,pre:tok,0.0,1,0.05763245,-0.032161765,-0.037244726
154,pre:tok:in,pre,pre:tok,0.0,1,0.05640232,-0.030009817,-0.04099507
155,pre:tok:in,pre,pre:tok,0.0,1,-0.016818479,0.021958226,0.0063853175
156,pre:tok:in,pre,pre:tok,0.0,1,-0.05646153,-0.014640552,0.001927924
133,((((hyp:tok:inside OR hyp:tok:sleeping) OR hyp:tok:indoors) OR hyp:tok:home) OR hyp:tok:tv),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.18974358974358974,5,-0.124654494,-0.023740085,0.0875474
158,pre:tok:in,pre,pre:tok,0.0,1,-0.0044874987,0.0547712,-0.03767643
159,pre:tok:in,pre,pre:tok,0.0,1,0.00021119398,0.010514237,-0.017077342
160,pre:tok:in,pre,pre:tok,0.0,1,0.016960602,0.04256296,-0.016251069
161,pre:tok:in,pre,pre:tok,0.0,1,0.005571336,-0.010668675,-0.02457532
162,pre:tok:in,pre,pre:tok,0.0,1,0.017939711,0.026868239,0.00055423524
163,pre:tok:in,pre,pre:tok,0.0,1,-0.2531126,0.116198055,-0.09132861
164,pre:tok:in,pre,pre:tok,0.0,1,-0.0015966669,-0.023462098,-0.004886586
165,pre:tok:in,pre,pre:tok,0.0,1,-0.051729437,-0.05801203,0.08128264
166,pre:tok:in,pre,pre:tok,0.0,1,0.013000044,-0.028395733,-0.06987498
167,pre:tok:in,pre,pre:tok,0.0,1,0.036970306,0.015462908,-0.022495331
168,pre:tok:in,pre,pre:tok,0.0,1,-0.024423728,0.0023050075,0.03357357
169,pre:tok:in,pre,pre:tok,0.0,1,-0.013789192,-0.005527775,-0.019280791
170,pre:tok:in,pre,pre:tok,0.0,1,0.10527749,-0.07499032,-0.13033234
171,pre:tok:in,pre,pre:tok,0.0,1,0.050320663,0.011822704,-0.19689855
172,pre:tok:in,pre,pre:tok,0.0,1,-0.074928164,0.015890753,0.018604869
128,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:outside)) AND (NOT hyp:tok:outdoors)) AND (NOT hyp:tok:near)),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.30608175473579263,9,-0.03504766,0.0011632245,0.03370134
174,pre:tok:in,pre,pre:tok,0.0,1,0.045036357,-0.022107106,-0.016550107
175,pre:tok:in,pre,pre:tok,0.0,1,0.007010473,-0.0333985,0.0011862116
176,pre:tok:in,pre,pre:tok,0.0,1,-0.09351342,-0.07701217,0.024855796
177,pre:tok:in,pre,pre:tok,0.0,1,-0.035102468,0.029758822,-0.026929472
178,pre:tok:in,pre,pre:tok,0.0,1,-0.005720577,0.030373879,-0.029933859
179,pre:tok:in,pre,pre:tok,0.0,1,-0.13136037,-0.0030478786,-0.020051666
180,pre:tok:in,pre,pre:tok,0.0,1,0.023711625,0.024367345,0.013461646
181,pre:tok:in,pre,pre:tok,0.0,1,-0.0066801035,-0.088771336,0.07713352
182,pre:tok:in,pre,pre:tok,0.0,1,0.022902442,0.019054422,-0.02082715
183,pre:tok:in,pre,pre:tok,0.0,1,-0.04230685,-0.04376197,-0.008674221
184,pre:tok:in,pre,pre:tok,0.0,1,0.042383034,-0.010578892,0.01582296
185,pre:tok:in,pre,pre:tok,0.0,1,-0.025977796,-0.009265048,-0.0006861341
186,pre:tok:in,pre,pre:tok,0.0,1,-0.0052255737,-0.021783398,0.032608166
187,pre:tok:in,pre,pre:tok,0.0,1,0.04688325,-0.006550069,-0.0069883284
188,pre:tok:in,pre,pre:tok,0.0,1,-0.002543531,0.010231753,0.01605837
189,pre:tok:in,pre,pre:tok,0.0,1,-0.025256582,0.042192712,-0.021719601
190,pre:tok:in,pre,pre:tok,0.0,1,0.008693362,0.026624294,0.0061495597
191,pre:tok:in,pre,pre:tok,0.0,1,-0.019932631,0.054277934,-0.024257569
192,pre:tok:in,pre,pre:tok,0.0,1,-0.07119933,0.087515876,-0.08368619
193,pre:tok:in,pre,pre:tok,0.0,1,-0.023645775,-0.0053736,0.022892535
194,pre:tok:in,pre,pre:tok,0.0,1,-0.19795032,-0.0823614,0.0116554815
195,pre:tok:in,pre,pre:tok,0.0,1,-0.07860946,0.03830187,-0.01763841
196,pre:tok:in,pre,pre:tok,0.0,1,0.013898657,-0.0036877377,0.014237707
197,pre:tok:in,pre,pre:tok,0.0,1,-0.052186057,-0.058214344,0.101645626
198,pre:tok:in,pre,pre:tok,0.0,1,0.055856068,-0.008882037,-0.05513268
199,pre:tok:in,pre,pre:tok,0.0,1,-0.024082795,0.018115602,-0.10912989
200,pre:tok:in,pre,pre:tok,0.0,1,-0.033764776,-0.0050887647,-0.02600243
201,pre:tok:in,pre,pre:tok,0.0,1,0.013784866,0.016872317,0.01369216
202,pre:tok:in,pre,pre:tok,0.0,1,-0.03866473,-0.009189565,-0.044769812
157,((((hyp:tok:for OR hyp:tok:to) AND hyp:tag:.) OR hyp:tok:after) OR hyp:tok:sad),((((hyp OR hyp) AND hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) AND hyp:tag) OR hyp:tok) OR hyp:tok),0.15086206896551724,5,-0.031905655,0.026381474,-0.03206754
204,pre:tok:in,pre,pre:tok,0.0,1,-0.092053816,0.09433622,-0.046124272
205,pre:tok:in,pre,pre:tok,0.0,1,0.023406269,0.008170713,0.008519941
206,pre:tok:in,pre,pre:tok,0.0,1,-0.03466468,0.006258125,0.015352923
207,pre:tok:in,pre,pre:tok,0.0,1,-0.037924863,0.0001400258,-0.0017536497
